@relation d159-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddExpression-Ea33+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R33

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute class {1,2} 

@data
0.637099,0.45556,0.730123,0.76982,0.690334,1,0.622937,0,0.236322,0.50617,0.19593,0,0.125001,0,0.105263,0,0,0.272732,0,0,0,0.285717,0,0,0.428584,0.166669,0.285717,0.1,0.285717,0.428584,0,0.166669,2
0.645161,0.96667,0.726331,0.92327,0.670451,0.375,0.614161,0.99453,0.241078,0.12346,0.19601,0.0025,0.125001,0,0.105263,0,0,0.272732,0,0,0,0.285717,0,0,0.285717,0.166669,0.285717,0.1,0.428584,0.428584,0,0.166669,2
0.614696,0.11111,0.715205,0.42967,0.713063,0.79167,0.645928,0.60482,0.24028,0.69136,0.19752,0.067885,0,0,0.105263,0,0,0.272732,0,0,0,0.285717,0,0,0.428584,0.166669,0.285717,0.1,0.428584,0.428584,0,0.166669,2
0.61739,0.92222,0.726999,0.91816,0.741474,0.29167,0.579333,0.98522,0.243462,0,0.19593,0.0025,0,0,0.105263,0,0,0.363643,0,0,0,0.285717,0,0,0.428584,0.166669,0.285717,0.1,0.285717,0.428584,0,0.166669,2
0.654125,0.32222,0.794027,0.67775,0.74432,0.875,0.520758,0.76628,0.231566,0.38272,0.14618,0.030385,0,0,0.105263,0,0,0.454554,0,0,0,0.285717,0,0,0.428584,0.166669,0.142858,0.1,0.285717,0.428584,0,0.166669,2
0.688176,0.32222,0.84925,0.67775,0.718745,0.875,0.528779,0.76628,0.216499,0.38272,0.098014,0.030385,0,0,0.105263,0,0,0.454554,0,0,0,0.285717,0,0,0.428584,0.166669,0,0.1,0.428584,0.428584,0,0.166669,2
0.68459,0.45556,0.848808,0.76982,0.713063,1,0.52786,0,0.208561,0.50617,0.098014,0,0,0,0.105263,0,0,0.454554,0,0,0,0.428584,0,0,0.428584,0.166669,0,0.1,0.428584,0.285717,0,0.166669,2
0.672041,0.11111,0.851253,0.41688,0.690334,0.875,0.518339,0.4532,0.203017,1,0.098224,0.95577,0,0,0.105263,0,0.166669,0.454554,0,0,0,0.428584,0,0,0.428584,0.166669,0,0.1,0.428584,0.142858,0,0.166669,2
0.63083,0.35556,0.824983,0.71356,0.73011,0.5,0.454111,0.80077,0.237109,0.16049,0.099698,0.030962,0,0,0.105263,0,0.166669,0.454554,0,0,0,0.285717,0,0,0.428584,0.166669,0,0.2,0.428584,0.142858,0,0.166669,2
0.628136,0.41111,0.813178,0.61637,0.701698,0.875,0.520707,0.33224,0.233938,0.53086,0.10129,0.032115,0,0,0.105263,0,0.166669,0.363643,0,0,0,0.285717,0,0,0.428584,0.166669,0,0.2,0.571446,0.142858,0,0.166669,2
0.653223,0.42222,0.832102,0.63427,0.681816,0.58333,0.542729,0.67707,0.199048,0.45679,0.055322,0.031923,0,0,0.052632,0,0.166669,0.363643,0,0,0,0.285717,0,0,0.428584,0.166669,0,0.2,0.714307,0.142858,0,0.166669,2
0.642478,0.42222,0.824089,0.63427,0.673298,0.58333,0.6181,0.67707,0.191121,0.45679,0.056833,0.031923,0,0,0.052632,0,0.166669,0.272732,0,0,0,0.285717,0,0,0.571446,0.166669,0,0.2,0.714307,0.142858,0,0.166669,2
0.601256,0.32222,0.810733,0.67775,0.715909,0.875,0.520278,0.76628,0.215701,0.38272,0.056709,0.030385,0,0,0.052632,0,0.166669,0.363643,0,0,0,0.285717,0,0,0.571446,0.166669,0,0.2,0.714307,0,0,0.166669,2
0.629038,0.45556,0.840342,0.76982,0.73011,1,0.460785,0,0.203805,0.50617,0.053332,0,0,0,0.052632,0,0.166669,0.454554,0,0,0,0.285717,0,0,0.571446,0,0,0.2,0.714307,0,0,0.166669,2
0.588707,0.45556,0.815622,0.76982,0.750003,1,0.430477,0,0.233151,0.50617,0.054795,0,0,0,0.052632,0,0.166669,0.454554,0,0,0,0.142858,0,0,0.571446,0,0,0.2,0.857139,0,0,0.166669,2
0.562729,0.42222,0.756619,0.63427,0.755685,0.58333,0.41368,0.67707,0.252974,0.45679,0.10304,0.031923,0,0,0.052632,0,0.166669,0.454554,0,0,0,0.142858,0,0,0.428584,0,0.142858,0.2,0.857139,0,0,0.166669,2
0.61739,0.92222,0.784678,0.91816,0.741474,0.29167,0.435212,0.98522,0.230768,0,0.10165,0.0025,0,0,0.052632,0,0.166669,0.454554,0,0.199996,0,0.142858,0,0,0.285717,0,0.142858,0.2,0.857139,0,0,0.166669,2
0.661296,0.81111,0.804711,0.95141,0.718745,0.041667,0.532116,0.89765,0.200634,0.037037,0.10177,0.006731,0,0,0.052632,0,0.166669,0.363643,0,0.399992,0,0.142858,0,0,0.285717,0,0.142858,0.2,0.857139,0,0,0.166669,2
0.681005,0.41111,0.830551,0.61637,0.69318,0.875,0.566301,0.33224,0.146708,0.53086,0.055762,0.032115,0,0,0,0,0.166669,0.363643,0,0.399992,0,0.142858,0,0,0.285717,0,0.142858,0.2,0.857139,0,0,0.333338,2
0.661296,0.42222,0.804711,0.63427,0.718745,0.58333,0.532116,0.67707,0.200634,0.45679,0.10177,0.031923,0,0,0.052632,0,0.166669,0.363643,0,0.399992,0,0.142858,0,0,0.285717,0,0.142858,0.2,0.857139,0,0,0.166669,2
0.628136,0.42222,0.751051,0.63427,0.724427,0.58333,0.558015,0.67707,0.210944,0.45679,0.14993,0.031923,0,0,0.052632,0,0.166669,0.363643,0,0.399992,0,0.142858,0,0,0.285717,0,0.285717,0.1,0.857139,0,0,0.166669,2
0.599463,0.32222,0.71877,0.67775,0.732956,0.875,0.557638,0.76628,0.232353,0.38272,0.1957,0.030385,0,0,0.052632,0,0.166669,0.363643,0,0.399992,0.1,0.142858,0,0,0.285717,0,0.285717,0.1,0.714307,0,0,0.166669,2
0.63083,0.45556,0.746376,0.76982,0.696027,1,0.579333,0,0.20539,0.50617,0.19445,0,0,0,0.052632,0,0.333338,0.363643,0,0.399992,0.1,0.142858,0,0,0.285717,0,0.285717,0.1,0.571446,0,0,0.166669,2
0.679212,0.45556,0.767304,0.76982,0.656251,1,0.600865,0,0.180811,0.50617,0.19306,0,0,0,0.052632,0,0.333338,0.363643,0,0.399992,0.1,0.285717,0,0,0.142858,0,0.285717,0.1,0.571446,0,0,0.166669,2
0.699823,0.42222,0.770869,0.63427,0.588064,0.58333,0.669777,0.67707,0.154635,0.45679,0.19443,0.031923,0,0,0.052632,0,0.333338,0.272732,0,0.399992,0.1,0.285717,0.199996,0,0.142858,0,0.285717,0.1,0.571446,0,0,0.166669,2
0.672041,0,0.743705,0,0.5767,0.95833,0.724525,0.59551,0.180811,0.69136,0.24217,1,0,0,0.052632,0.0625,0.333338,0.181818,0,0.399992,0.1,0.285717,0.199996,0,0.142858,0,0.285717,0.1,0.571446,0,0,0.166669,2
0.700714,1,0.751277,1,0.551135,0.66667,0.712095,0.98522,0.15622,0.037037,0.242,0.0025,0,0.333326,0.052632,0.0625,0.333338,0.181818,0,0.399992,0.1,0.285717,0.199996,0,0.142858,0,0.285717,0.1,0.428584,0,0,0.166669,2
0.626343,1,0.671335,1,0.596593,0.66667,0.673767,0.98522,0.200634,0.037037,0.29163,0.0025,0,0.333326,0.052632,0.0625,0.333338,0.181818,0,0.399992,0.1,0.142858,0.199996,0,0.142858,0,0.428584,0.1,0.428584,0,0,0.166669,2
0.5699,0.35556,0.627464,0.71356,0.639204,0.5,0.636183,0.80077,0.251389,0.16049,0.29453,0.030962,0,0.333326,0.052632,0.0625,0.166669,0.181818,0,0.399992,0.1,0.142858,0.199996,0.142858,0.142858,0,0.428584,0.1,0.428584,0,0,0.166669,2
0.5699,0.11111,0.627464,0.41688,0.639204,0.875,0.636183,0.4532,0.251389,1,0.29453,0.95577,0,0.333326,0.052632,0.0625,0.166669,0.181818,0,0.399992,0.1,0.142858,0.199996,0.142858,0.142858,0,0.428584,0.1,0.428584,0,0,0.166669,2
0.561827,0,0.631256,0,0.659087,0.95833,0.644959,0.59551,0.246633,0.69136,0.29445,1,0,0.333326,0.052632,0.0625,0.166669,0.181818,0,0.399992,0.1,0.142858,0.199996,0.142858,0.285717,0,0.428584,0.1,0.285717,0,0,0.166669,2
0.605732,0.066667,0.656417,0.26343,0.644887,0.70833,0.676185,0.67324,0.225224,0.79012,0.29299,0.95192,0,0.333326,0.052632,0.0625,0.166669,0.181818,0,0.399992,0.1,0.142858,0.199996,0.142858,0.285717,0,0.428584,0.1,0.142858,0.142858,0,0.166669,2
0.613805,0.81111,0.652625,0.95141,0.624993,0.041667,0.667409,0.89765,0.22998,0.037037,0.29307,0.006731,0,0.333326,0.052632,0.0625,0.166669,0.181818,0,0.399992,0.1,0.142858,0.199996,0.142858,0.142858,0,0.428584,0.1,0.285717,0.142858,0,0.166669,2
0.582438,0.92222,0.60854,0.91816,0.605111,0.29167,0.733627,0.98522,0.248218,0,0.34043,0.0025,0,0.333326,0.052632,0.0625,0.166669,0.090909,0,0.399992,0.2,0.142858,0.199996,0.142858,0.142858,0,0.428584,0.1,0.285717,0.142858,0,0.166669,2
0.579754,0.71111,0.596735,0.81074,0.5767,0,0.800223,0.7006,0.245047,0.098765,0.34202,0.0275,0,0.333326,0.052632,0.0625,0.166669,0,0,0.399992,0.2,0.142858,0.199996,0.142858,0.142858,0,0.428584,0.1,0.428584,0.142858,0,0.166669,2
0.571682,0.11111,0.600527,0.4578,0.596593,0.83333,0.808999,0.55665,0.24028,0.91358,0.34194,0.95962,0,0.333326,0.052632,0.0625,0.166669,0,0,0.399992,0.2,0.142858,0.199996,0.142858,0.285717,0,0.428584,0.1,0.285717,0.142858,0,0.166669,2
0.597671,0.77778,0.65953,0.72123,0.590911,0.20833,0.825796,0.55063,0.220457,0.074074,0.2937,0.028462,0,0.333326,0.052632,0.0625,0.166669,0,0,0.399992,0.2,0.142858,0.199996,0.142858,0.428584,0,0.285717,0.1,0.285717,0.142858,0,0.166669,2
0.517031,0,0.572468,0,0.610793,0.95833,0.787467,0.59551,0.262487,0.69136,0.34332,1,0,0.333326,0.052632,0.0625,0.166669,0,0,0.199996,0.2,0.142858,0.199996,0.142858,0.428584,0,0.428584,0.1,0.285717,0.142858,0,0.166669,2
0.445344,0.11111,0.521694,0.44757,0.624993,0.66667,0.735138,0.5156,0.324351,0.82716,0.39075,0.065,0,0.333326,0.105263,0.0625,0.166669,0,0,0,0.2,0.142858,0.199996,0.142858,0.428584,0,0.428584,0.1,0.285717,0.142858,0,0.166669,2
0.491042,0.41111,0.539509,0.61637,0.610793,0.875,0.753282,0.33224,0.31404,0.53086,0.38934,0.032115,0,0.333326,0.105263,0.0625,0.166669,0,0,0,0.2,0.285717,0.199996,0.142858,0.428584,0,0.428584,0.1,0.285717,0.142858,0,0,2
0.508067,0.32222,0.562225,0.67775,0.610793,0.875,0.784069,0.76628,0.274383,0.38272,0.3433,0.030385,0,0.333326,0.052632,0.0625,0.166669,0,0,0,0.2,0.285717,0.199996,0.142858,0.571446,0,0.428584,0.1,0.285717,0.142858,0,0,2
0.542118,0.96667,0.617448,0.92327,0.585228,0.375,0.79209,0.99453,0.259316,0.12346,0.29513,0.0025,0,0.333326,0.052632,0.0625,0.166669,0,0,0,0.2,0.285717,0.199996,0.142858,0.571446,0,0.285717,0.1,0.428584,0.142858,0,0,2
0.61739,0.42222,0.681578,0.63427,0.582382,0.58333,0.822786,0.67707,0.210944,0.45679,0.2479,0.031923,0,0.333326,0.052632,0.0625,0.166669,0,0,0.199996,0.1,0.285717,0.199996,0.142858,0.571446,0,0.285717,0.1,0.428584,0.142858,0,0,2
0.577961,0.066667,0.657753,0.26343,0.639204,0.70833,0.809856,0.67324,0.233151,0.79012,0.24907,0.95192,0,0.333326,0.052632,0.0625,0,0,0,0.199996,0.1,0.285717,0.199996,0.142858,0.714307,0,0.285717,0.1,0.428584,0.142858,0,0,2
0.540325,0.42222,0.644838,0.63427,0.687498,0.58333,0.712953,0.67707,0.265658,0.45679,0.24895,0.031923,0,0.333326,0.052632,0.0625,0,0.090909,0,0.199996,0.1,0.142858,0.199996,0.142858,0.714307,0,0.285717,0.1,0.428584,0.142858,0,0,2
0.560936,0.32222,0.65464,0.67775,0.713063,0.875,0.741863,0.76628,0.267254,0.38272,0.2477,0.030385,0,0.333326,0.052632,0.0625,0,0.090909,0,0.199996,0.1,0.142858,0,0.142858,0.714307,0,0.285717,0.1,0.428584,0.285717,0,0,2
0.586023,0.32222,0.669999,0.67775,0.696027,0.875,0.75371,0.76628,0.237907,0.38272,0.20155,0.030385,0,0.333326,0.052632,0,0,0.090909,0,0.199996,0.1,0.142858,0,0.142858,0.714307,0,0.285717,0.1,0.571446,0.285717,0,0,2
0.556449,0,0.660865,0,0.741474,0.95833,0.732229,0.59551,0.267254,0.69136,0.20173,1,0,0,0.052632,0,0,0.090909,0,0.199996,0.1,0.142858,0,0.142858,0.714307,0,0.285717,0.2,0.571446,0.285717,0,0,2
0.582438,0.11111,0.71988,0.41688,0.735792,0.875,0.749026,0.4532,0.24742,1,0.15349,0.95577,0,0,0.052632,0,0,0.090909,0,0.199996,0.1,0.142858,0,0.142858,0.857139,0,0.142858,0.2,0.571446,0.285717,0,0,2
0.606634,0.92222,0.734571,0.91816,0.750003,0.29167,0.730995,0.98522,0.228395,0,0.15185,0.0025,0,0,0.052632,0,0,0.090909,0,0.199996,0.1,0.142858,0,0,0.857139,0,0.142858,0.300006,0.571446,0.285717,0,0,2
0.606634,0.32222,0.734571,0.67775,0.750003,0.875,0.730995,0.76628,0.228395,0.38272,0.15185,0.030385,0,0,0.052632,0,0,0.090909,0,0.199996,0.1,0.142858,0,0,0.857139,0,0.142858,0.300006,0.571446,0.285717,0,0,2
0.589609,0.42222,0.711866,0.63427,0.750003,0.58333,0.700197,0.67707,0.268041,0.45679,0.19789,0.031923,0,0,0.105263,0,0,0.090909,0,0.199996,0.1,0.142858,0,0,0.714307,0,0.142858,0.300006,0.571446,0.285717,0,0,2
0.520605,1,0.671335,1,0.78125,0.66667,0.657123,0.98522,0.318796,0.037037,0.24551,0.0025,0,0,0.105263,0.0625,0,0.090909,0,0.199996,0.1,0.142858,0,0,0.714307,0,0.142858,0.300006,0.571446,0.142858,0,0,2
0.512544,0.32222,0.675126,0.67775,0.801132,0.875,0.665899,0.76628,0.31404,0.38272,0.24544,0.030385,0,0,0.105263,0.0625,0,0.090909,0,0.199996,0.1,0.142858,0,0,0.857139,0,0.142858,0.300006,0.428584,0.142858,0,0,2
0.533154,0.45556,0.711198,0.76982,0.812497,1,0.675053,0,0.287864,0.50617,0.19959,0,0,0,0.105263,0.0625,0,0.090909,0,0.199996,0,0.142858,0,0,1,0,0.142858,0.300006,0.428584,0.142858,0,0,2
0.556449,0.96667,0.726558,0.92327,0.772721,0.375,0.677369,0.99453,0.26487,0.12346,0.19937,0.0025,0,0,0.105263,0.0625,0,0.090909,0,0.199996,0,0.142858,0.199996,0,1,0,0.142858,0.300006,0.285717,0.142858,0,0,2
0.539424,0.42222,0.707407,0.63427,0.769885,0.58333,0.656745,0.67707,0.298973,0.45679,0.2456,0.031923,0,0,0.105263,0.124999,0,0.090909,0,0.199996,0,0.142858,0.199996,0,0.857139,0,0.142858,0.300006,0.285717,0.142858,0,0,2
0.5699,0.41111,0.718544,0.61637,0.727274,0.875,0.624988,0.33224,0.299761,0.53086,0.24409,0.032115,0.125001,0,0.105263,0.124999,0,0.090909,0,0.199996,0,0.142858,0.199996,0,0.714307,0,0.142858,0.300006,0.285717,0.142858,0,0,2
0.603049,0.32222,0.772205,0.67775,0.721591,0.875,0.599089,0.76628,0.28945,0.38272,0.19593,0.030385,0.125001,0,0.105263,0.124999,0,0.090909,0,0.199996,0,0.142858,0.199996,0,0.714307,0,0,0.400008,0.285717,0.142858,0,0,2
0.603049,0.41111,0.773314,0.61637,0.715909,0.875,0.613998,0.33224,0.269627,0.53086,0.15176,0.032115,0.125001,0,0.052632,0.124999,0,0.090909,0,0.199996,0,0.142858,0.199996,0,0.714307,0.166669,0,0.400008,0.285717,0.142858,0,0,2
0.561827,0.41111,0.747044,0.61637,0.755685,0.875,0.54978,0.33224,0.303729,0.53086,0.15323,0.032115,0.125001,0,0.052632,0.124999,0,0.090909,0,0.199996,0,0,0.199996,0,0.714307,0.166669,0,0.500011,0.285717,0.142858,0,0,2
0.547496,0.11111,0.735465,0.41688,0.701698,0.875,0.529799,0.4532,0.322755,1,0.20109,0.95577,0.125001,0,0.052632,0.124999,0,0.090909,0.199996,0.199996,0,0,0.199996,0,0.571446,0.166669,0,0.500011,0.285717,0.142858,0,0,2
0.587816,0.11111,0.760185,0.4578,0.681816,0.83333,0.560117,0.55665,0.293419,0.91358,0.19963,0.95962,0.125001,0,0.052632,0.124999,0,0.090909,0.199996,0.199996,0,0.142858,0.199996,0,0.571446,0.166669,0,0.500011,0.142858,0.142858,0,0,2
0.507165,0.32222,0.673112,0.67775,0.701698,0.875,0.521778,0.76628,0.335449,0.38272,0.24925,0.030385,0.125001,0,0.052632,0.124999,0,0.090909,0.199996,0,0,0.142858,0.199996,0,0.571446,0.166669,0.142858,0.500011,0.142858,0.142858,0,0,2
0.49014,0.32222,0.653078,0.67775,0.687498,0.875,0.497124,0.76628,0.363997,0.38272,0.25098,0.030385,0.125001,0,0.052632,0.124999,0,0.090909,0.199996,0,0,0.142858,0.199996,0.142858,0.428584,0.166669,0.142858,0.500011,0.142858,0.142858,0,0,2
0.486565,0.71111,0.639711,0.81074,0.67898,0,0.529799,0.7006,0.365583,0.098765,0.25257,0.0275,0.125001,0,0.052632,0.124999,0,0,0.199996,0,0,0.142858,0.199996,0.142858,0.428584,0.166669,0.142858,0.599992,0.142858,0.142858,0,0,2
0.434588,0.11111,0.618342,0.4578,0.713063,0.83333,0.507349,0.55665,0.382235,0.91358,0.25396,0.95962,0.125001,0,0.052632,0.124999,0,0,0.199996,0,0,0.142858,0.199996,0.142858,0.571446,0.166669,0.142858,0.599992,0.142858,0,0,0,2
0.4095,0.7,0.602971,0.80563,0.73011,0.25,0.495511,0.44335,0.411581,0.39506,0.30012,0,0.125001,0,0.052632,0.187502,0,0,0.199996,0,0,0.142858,0.199996,0.142858,0.571446,0.166669,0.142858,0.599992,0,0,0,0,2
0.385304,0.41111,0.585609,0.61637,0.73011,0.875,0.50741,0.33224,0.441715,0.53086,0.34607,0.032115,0.125001,0,0.105263,0.187502,0,0,0.199996,0,0,0.142858,0.199996,0.142858,0.571446,0.166669,0.142858,0.500011,0,0,0,0,2
0.364693,0.11111,0.549537,0.42967,0.718745,0.79167,0.498257,0.60482,0.46788,0.69136,0.39192,0.067885,0.125001,0,0.105263,0.187502,0,0,0.199996,0,0.1,0.142858,0.199996,0.142858,0.428584,0.166669,0.142858,0.500011,0,0,0,0,2
0.331544,0.41111,0.495865,0.61637,0.724427,0.875,0.524156,0.33224,0.478191,0.53086,0.44008,0.032115,0.125001,0,0.105263,0.187502,0,0,0.199996,0,0.1,0.142858,0.199996,0.142858,0.428584,0.166669,0.285717,0.400008,0,0,0,0,2
0.354839,0.14444,0.512344,0.54476,0.681816,0.083333,0.535075,0.56322,0.469466,0.67901,0.43848,0.99231,0.250001,0,0.105263,0.187502,0,0,0.199996,0,0.1,0.142858,0.199996,0.142858,0.428584,0.166669,0.285717,0.300006,0,0,0,0,2
0.38262,0.92222,0.543074,0.91816,0.690334,0.29167,0.490501,0.98522,0.437746,0,0.39093,0.0025,0.250001,0,0.052632,0.187502,0,0.090909,0.199996,0,0.1,0.142858,0.199996,0.142858,0.428584,0.166669,0.285717,0.300006,0,0,0,0,2
0.410391,0,0.570238,0,0.701698,0.95833,0.435753,0.59551,0.411581,0.69136,0.34318,1,0.250001,0,0.052632,0.124999,0,0.181818,0.199996,0,0.1,0.142858,0.199996,0.142858,0.428584,0.166669,0.285717,0.300006,0,0,0,0,2
0.393366,0.11111,0.551088,0.44757,0.698863,0.66667,0.415129,0.5156,0.445673,0.82716,0.38941,0.065,0.250001,0,0.052632,0.187502,0,0.181818,0.199996,0,0.1,0.142858,0.199996,0.142858,0.285717,0.166669,0.285717,0.300006,0,0,0,0,2
0.376341,0.41111,0.531937,0.61637,0.696027,0.875,0.394516,0.33224,0.479776,0.53086,0.43565,0.032115,0.250001,0,0.052632,0.250003,0,0.181818,0.199996,0,0.1,0.142858,0.199996,0.142858,0.142858,0.166669,0.285717,0.300006,0,0,0,0,2
0.352155,0.32222,0.515016,0.67775,0.755685,0.875,0.358279,0.76628,0.507537,0.38272,0.43588,0.030385,0.250001,0,0.052632,0.250003,0,0.181818,0.199996,0,0.1,0.142858,0,0.142858,0.142858,0.166669,0.285717,0.400008,0,0,0,0,2
0.352155,0.11111,0.512571,0.4578,0.752839,0.83333,0.363014,0.55665,0.493258,0.91358,0.39151,0.95962,0.250001,0,0.052632,0.187502,0,0.181818,0.199996,0,0.1,0.142858,0,0.142858,0.142858,0.333338,0.285717,0.400008,0,0,0,0,2
0.361108,0.11111,0.525259,0.41688,0.738638,0.875,0.4077,0.4532,0.470264,1,0.39184,0.95577,0.125001,0,0.052632,0.187502,0.166669,0.181818,0.199996,0,0.1,0.142858,0,0.142858,0.142858,0.333338,0.285717,0.400008,0,0,0,0,2
0.336922,0.066667,0.51145,0.26343,0.735792,0.70833,0.429773,0.67324,0.494843,0.79012,0.43799,0.95192,0.125001,0,0.052632,0.250003,0.166669,0.181818,0.199996,0,0.1,0.142858,0,0.142858,0.142858,0.333338,0.285717,0.300006,0,0,0,0,2
0.385304,0,0.544636,0,0.681816,0.95833,0.439202,0.59551,0.456782,0.69136,0.43598,1,0.125001,0,0.052632,0.250003,0.166669,0.181818,0.199996,0,0.1,0.142858,0.199996,0.142858,0.142858,0.166669,0.285717,0.300006,0,0,0,0,2
0.361108,0.7,0.527262,0.80563,0.681816,0.25,0.451091,0.44335,0.486916,0.39506,0.48194,0,0.125001,0,0.105263,0.250003,0.166669,0.181818,0.199996,0,0.1,0.142858,0.199996,0.142858,0.142858,0.166669,0.285717,0.2,0,0,0,0,2
